image	type	mode	inode	offset	size	crc32	path	target	extracted_path
image-0	file	100555	3221225569	38498304	730715	2184d19b	usr/lib/libglib-2.0.so.1		image-0/usr/lib/libglib-2.0.so.1
image-0	symlink	120555	3221225570	0	0	0	usr/lib/libglib-2.0.so	libglib-2.0.so.1	
image-0	file	100555	3221225571	39231488	917725	5b71948c	usr/lib/libiconv.so.1		image-0/usr/lib/libiconv.so.1
image-0	symlink	120555	3221225572	0	0	0	usr/lib/libiconv.so	libiconv.so.1	
image-0	file	100555	3221225573	40153088	55379	eb4c4832	usr/lib/libintl.so.1		image-0/usr/lib/libintl.so.1
image-0	symlink	120555	3221225574	0	0	0	usr/lib/libintl.so	libintl.so.1	
image-0	file	100555	3221225575	40210432	192350	735e0d7a	usr/lib/libpcre.so.1		image-0/usr/lib/libpcre.so.1
image-0	symlink	120555	3221225576	0	0	0	usr/lib/libpcre.so	libpcre.so.1	
image-0	file	100555	3221225577	40402944	8732	9696b731	usr/lib/libs5ipc.so.1		image-0/usr/lib/libs5ipc.so.1
image-0	symlink	120555	3221225578	0	0	0	usr/lib/libs5ipc.so	libs5ipc.so.1	
image-0	file	100555	3221225579	40415232	397110	6ba99591	usr/lib/libssl.so.2		image-0/usr/lib/libssl.so.2
image-0	symlink	120555	3221225580	0	0	0	usr/lib/libssl.so	libssl.so.2	
image-0	file	100555	3221225581	40812544	14829	6b8426af	usr/lib/libmmlink.so.1		duplicates/image-0/210/usr/lib/libmmlink.so.1
image-0	file	100555	3221225582	40828928	1079642	f5db2f74	usr/lib/libicuuc.so.46		image-0/usr/lib/libicuuc.so.46
image-0	symlink	120555	3221225583	0	0	0	usr/lib/libicuuc.so	libicuuc.so.46	
image-0	file	100555	3221225584	41910272	44864	d72eda01	usr/lib/libnbutil.so.1		image-0/usr/lib/libnbutil.so.1
image-0	symlink	120555	3221225585	0	0	0	usr/lib/libnbutil.so	libnbutil.so.1	
image-0	file	100555	3221225588	41955328	42783	7992fbd7	usr/lib/libdisputil.so.2		image-0/usr/lib/libdisputil.so.2
image-0	symlink	120555	3221225589	0	0	0	usr/lib/libdisputil.so	libdisputil.so.2	
image-0	file	100555	3221225590	42000384	99769	60d2fa61	usr/lib/libscreen.so.1		image-0/usr/lib/libscreen.so.1
