image	type	mode	inode	offset	size	crc32	path	target	extracted_path
image-380000	file	100444	456	1554485	1913	9f5438a0	usr/share/lua/service/insightDetect/insightDetect.lua		image-380000/usr/share/lua/service/insightDetect/insightDetect.lua
image-380000	file	100444	204	1556398	80	767d506a	usr/bin/nav/ON/options.txt		image-380000/usr/bin/nav/ON/options.txt
image-380000	symlink	120555	3221225493	0	0	0	lib/libgestures.so	libgestures.so.1	
image-380000	file	100555	3221225494	1556480	46225	21c80664	lib/libinputevents.so.1		image-380000/lib/libinputevents.so.1
image-380000	file	100444	519	1602705	2918	582b9587	etc/pim.sql		image-380000/etc/pim.sql
image-380000	symlink	120555	3221225495	0	0	0	lib/libinputevents.so	libinputevents.so.1	
image-380000	file	100555	3221225496	1605632	15044	442d7dbf	lib/libmtouch-calib.so.1		image-380000/lib/libmtouch-calib.so.1
image-380000	file	100444	213	1620676	1273	ce4f77ba	boot/scripts/pre-nav.sh		image-380000/boot/scripts/pre-nav.sh
image-380000	file	100444	484	1621949	61	3dd1a8cf	usr/share/tracescopes/servicescopes/Navigation.hbtc		image-380000/usr/share/tracescopes/servicescopes/Navigation.hbtc
image-380000	symlink	120555	3221225497	0	0	0	lib/libmtouch-calib.so	libmtouch-calib.so.1	
image-380000	file	100555	3221225498	1622016	31625	54360db3	lib/libmtouch-toyota.so.1		image-380000/lib/libmtouch-toyota.so.1
image-380000	file	100666	362	1653641	1109	b5c8e0eb	usr/share/lua/mcd.lua		image-380000/usr/share/lua/mcd.lua
image-380000	file	100444	506	1654750	34	838db4ef	etc/shadow		image-380000/etc/shadow
image-380000	symlink	120555	3221225499	0	0	0	lib/libmtouch-toyota.so	libmtouch-toyota.so.1	
image-380000	file	100555	3221225500	1654784	8920	332f05f4	lib/libmtouch-devi.so.1		image-380000/lib/libmtouch-devi.so.1
image-380000	file	100666	359	1663704	3338	fdd766ad	usr/share/lua/fsm.lua		image-380000/usr/share/lua/fsm.lua
image-380000	file	100444	556	1667042	26	50949a96	etc/system/config/calib.localhost		image-380000/etc/system/config/calib.localhost
image-380000	symlink	120555	3221225501	0	0	0	lib/libmtouch-devi.so	libmtouch-devi.so.1	
image-380000	file	100555	3221225505	1667072	10992051	ec5a4437	lib/air/runtimeSDK/Adobe AIR/Versions/1.0/libCore.so		image-380000/lib/air/runtimeSDK/Adobe AIR/Versions/1.0/libCore.so
image-380000	file	100444	533	12659123	1490	bd129370	etc/dbservice_recovery.cfg		image-380000/etc/dbservice_recovery.cfg
image-380000	file	100444	562	12660613	78	a4eaa3eb	etc/system/config/air/oem.cfg		image-380000/etc/system/config/air/oem.cfg
image-380000	file	101777	300	12660691	44	f7fd48ff	usr/bin/dos2unix		image-380000/usr/bin/dos2unix
image-380000	file	100555	3221225506	12660736	12854	4a1400a7	lib/libclipboard.so.1		image-380000/lib/libclipboard.so.1
image-380000	file	100666	415	12673590	3473	9be2c	usr/share/lua/service/toyotamanager/microphonemanager.lua		image-380000/usr/share/lua/service/toyotamanager/microphonemanager.lua
image-380000	file	101777	301	12677063	52	cb419030	usr/bin/connctrl		image-380000/usr/bin/connctrl
image-380000	symlink	120555	3221225507	0	0	0	lib/libclipboard.so	libclipboard.so.1	
image-380000	file	100555	3221225508	12677120	1398471	b8e5d7b8	lib/libicui18n.so.46		image-380000/lib/libicui18n.so.46
image-380000	file	100444	496	14075591	2357	120bcfe3	usr/lib/terminfo/q/qansi-m		image-380000/usr/lib/terminfo/q/qansi-m
image-380000	symlink	120555	3221225509	0	0	0	lib/libicui18n.so	libicui18n.so.46	
image-380000	file	100555	3221225510	14077952	68881	9203a6ed	lib/dll/fs-qnx4.so		image-380000/lib/dll/fs-qnx4.so
image-380000	file	100444	452	14146833	746	79e64a71	usr/share/lua/requestScreen.lua		image-380000/usr/share/lua/requestScreen.lua
image-380000	file	100555	3221225511	14147584	92607	35c54de7	lib/dll/fs-qnx6.so		image-380000/lib/dll/fs-qnx6.so
image-380000	file	100444	532	14240191	1481	c75957b0	etc/dbservice.cfg		image-380000/etc/dbservice.cfg
image-380000	file	101777	296	14241672	60	d28617fe	usr/bin/flashNetETFS		image-380000/usr/bin/flashNetETFS
image-380000	file	101777	294	14241732	59	17bcddb2	usr/bin/flashNetIFS		image-380000/usr/bin/flashNetIFS
image-380000	file	100555	3221225512	14241792	37176	51e258c5	lib/dll/deva-util-restore.so		image-380000/lib/dll/deva-util-restore.so
